CustomerID|NameStyle|Title|FirstName|MiddleName|LastName|Suffix|CompanyName|SalesPerson|EmailAddress|Phone|rowguid
82|0|Mr.|James|D.|Kramer|NULL|Refined Department Stores|adventure-works\josé1|james10@adventure-works.com|814-555-0130|92618ECE-2254-4852-B3B3-46ED2E0E3E1A
83|0|Mr.|Eric|J.|Brumfield|NULL|Requisite Part Supply|adventure-works\josé1|eric3@adventure-works.com|644-555-0114|8E01F170-64D3-4B74-82E1-D1691AE9F37C
84|0|Ms.|Della|F.|Demott Jr|NULL|Rewarding Activities Company|adventure-works\garrett1|della0@adventure-works.com|752-555-0185|45A614CE-3137-4A12-8296-24048C18F320
88|0|Ms.|Pamala|M.|Kotc|NULL|Closest Bicycle Store|adventure-works\jae0|pamala0@adventure-works.com|1 (11) 500 555-0173|11FEDA31-15B6-4F08-9357-355371D4D928
91|0|Ms.|Joy|R.|Koski|NULL|Scooters and Bikes Store|adventure-works\pamela0|joy0@adventure-works.com|810-555-0198|9F314FC3-9644-4412-A90A-5483F75F665B
92|0|Ms.|Jovita|A.|Carmody|NULL|Sports Commodities|adventure-works\david8|jovita0@adventure-works.com|646-555-0137|672412C3-5D5D-488B-B176-E3DAFAD05D70
93|0|Mr.|Prashanth|NULL|Desai|NULL|Stationary Bikes and Stands|adventure-works\jillian0|prashanth0@adventure-works.com|138-555-0156|249B42C2-8EAE-49F1-A560-A90837748654
94|0|Mr.|Scott|NULL|Konersmann|NULL|Specialty Sports Store|adventure-works\jillian0|scott6@adventure-works.com|556-555-0192|65BE08DA-DFB7-4BC8-AA5C-FAD98B82524E
95|0|Ms.|Jane|N.|Carmichael|NULL|Rural Department Store|adventure-works\shu0|jane0@adventure-works.com|716-555-0167|EA0BC621-9466-4F04-BBFF-3B361C6F9057
96|0|Ms.|Bonnie|B.|Lepro|NULL|More Bikes!|adventure-works\linda3|bonnie2@adventure-works.com|354-555-0130|BAC5B4DA-00B0-4BF1-816A-1E39F676BF9B
97|0|Mr.|Eugene|NULL|Kogan|NULL|Mountain Bike Center|adventure-works\shu0|eugene2@adventure-works.com|136-555-0134|355EB5D8-6B4C-4FFF-B12B-40F89CA4E31D
100|0|Mr.|Kirk|T|King|NULL|Up-To-Date Sports|adventure-works\josé1|kirk2@adventure-works.com|979-555-0163|E789F6DD-3159-4DDC-81A8-8571C571656E
101|0|Mr.|William|J.|Conner|NULL|Urban Sports Emporium|adventure-works\josé1|william1@adventure-works.com|383-555-0111|67AD4F37-2467-4438-A749-D947BEEC3A92
102|0|Ms.|Linda|NULL|Leste|NULL|National Manufacturing|adventure-works\garrett1|linda7@adventure-works.com|493-555-0134|959CF74B-1004-43F5-9AB7-4CDD482C847D
106|0|Ms.|Andrea|A.|Thomsen|NULL|West Side Mart|adventure-works\jae0|andrea1@adventure-works.com|1 (11) 500 555-0120|AAFBF7D5-8759-4962-9DEB-77C6E22875F4
109|0|Mr.|Daniel|P.|Thompson|NULL|Travel Sports|adventure-works\pamela0|daniel2@adventure-works.com|247-555-0197|7585790B-6034-4520-A383-9FA1E8B3E76E
110|0|Ms.|Kendra|N.|Thompson|NULL|Vintage Sport Boutique|adventure-works\david8|kendra0@adventure-works.com|464-555-0188|82C2F3F0-63B8-46CC-AEDC-3A856956EF04
111|0|Mr.|Scott|A.|Colvin|NULL|Westside Cycle Store|adventure-works\jillian0|scott1@adventure-works.com|119-555-0144|0122151A-9140-4663-A3EB-A442D88BC1BB
112|0|Ms.|Elsie|L.|Lewin|NULL|Town Industries|adventure-works\jillian0|elsie0@adventure-works.com|803-555-0116|5035E4D6-3758-4FA6-A462-2E2ECF52E6F0
113|0|Mr.|Donald|M.|Thompson|NULL|Trendy Department Stores|adventure-works\shu0|donald1@adventure-works.com|273-555-0111|8A84966C-5D38-41CA-990F-AD107558A6B8
114|0|Mr.|John|L.|Colon|NULL|Two Wheels Cycle Store|adventure-works\linda3|john14@adventure-works.com|397-555-0144|BCC5AE61-8214-44A1-A43C-FBD65C3745AE
115|0|Mr.|George|Z.|Li|NULL|Security Racks and Locks Wholesalers|adventure-works\shu0|george3@adventure-works.com|699-555-0183|080F7047-8396-4CEC-AB43-56CF41DE4E00
118|0|Mr.|Yale|NULL|Li|NULL|Rapid Bikes|adventure-works\josé1|yale0@adventure-works.com|316-555-0138|5FEAFBD2-4A43-4641-8E94-B3059B2A882E
119|0|Ms.|Phyllis|A.|Thomas|NULL|Red Bicycle Company|adventure-works\josé1|phyllis2@adventure-works.com|667-555-0112|D13245EF-8267-4CB4-87C9-C23155D33E93
120|0|Mr.|Pat|NULL|Coleman|NULL|Machines & Cycles Store|adventure-works\garrett1|pat2@adventure-works.com|292-555-0128|25863C18-4C9A-4BC9-BE0D-95F4CF67BF7D
124|0|Ms.|Yuhong|NULL|Li|NULL|Nearby Sporting Goods|adventure-works\jae0|yuhong1@adventure-works.com|1 (11) 500 555-0176|2F614C31-ABAE-42D0-820B-193F0DDC811E
127|0|Mr.|Joseph|M.|Lique|NULL|Front Sporting Goods|adventure-works\pamela0|joseph2@adventure-works.com|119-555-0195|EF55103F-ACC7-4BFD-89B1-20A04845E706
128|0|Ms.|Judy|J.|Thames|NULL|Demand Distributors|adventure-works\david8|judy3@adventure-works.com|799-555-0118|03F73E74-8DE5-421E-B5AF-04B259268DD6
129|0|Ms.|Connie|L.|Coffman|NULL|Discount Bicycle Specialists|adventure-works\jillian0|connie0@adventure-works.com|426-555-0181|E03DB34C-BF17-407D-9423-FA22DBFDD292
130|0|Mr.|Paulo|H.|Lisboa|NULL|Elite Bikes|adventure-works\jillian0|paulo0@adventure-works.com|380-555-0116|606ECDC2-6443-4E4B-897F-32D4C17AB894
131|0|Ms.|Vanessa|J.|Tench|NULL|Eighth Bike Store|adventure-works\shu0|vanessa0@adventure-works.com|785-555-0163|ED0DF7CC-6234-4D60-8B81-315C019F5356
132|0|Ms.|Teanna|M.|Cobb|NULL|Another Sporting Goods Company|adventure-works\linda3|teanna0@adventure-works.com|661-555-0168|7649E8AF-3DAB-43AA-B7DF-9776F84DFB71
133|0|Mr.|Michael|NULL|Graff|NULL|Commercial Sporting Goods|adventure-works\shu0|michael16@adventure-works.com|132-555-0150|4F61574B-8353-42EC-825C-87896E6E16A4
136|0|Mr.|Derek|NULL|Graham|NULL|Wholesale Parts|adventure-works\josé1|derek0@adventure-works.com|674-555-0187|84CD4767-F142-4D9D-9033-AD3ADE34BF74
137|0|NULL|Gytis|M|Barzdukas|NULL|Transportation Options|adventure-works\josé1|gytis0@adventure-works.com|257-555-0119|D6A1AEE7-25EF-4417-AB10-65BC21661864
138|0|Ms.|Jane|NULL|Clayton|NULL|South Bike Company|adventure-works\garrett1|jane1@adventure-works.com|206-555-0195|91B9EF4B-2FA8-4936-AC71-1FA1B3624D12
142|0|Mr.|Jon|NULL|Grande|NULL|Riding Cycles|adventure-works\jae0|jon1@adventure-works.com|1 (11) 500 555-0114|B821D13F-E9DB-4A3B-87D0-7E867A161575
145|0|Mr.|Ted|NULL|Bremer|NULL|Raw Materials Inc|adventure-works\pamela0|ted0@adventure-works.com|962-555-0166|FEC5609D-042B-4480-B1BA-55F2D4107327
146|0|Mr.|Richard|NULL|Bready|NULL|Latest Sports Equipment|adventure-works\david8|richard1@adventure-works.com|340-555-0131|5475E9DD-98CA-4989-B7A2-3FC929BEEA12
147|0|Ms.|Alice|NULL|Clark|NULL|Local Hardware Factory|adventure-works\jillian0|alice1@adventure-works.com|221-555-0141|03836A0B-7AD8-4115-8D23-6EFA0D8DEEA1
148|0|Mr.|Alan|NULL|Brewer|NULL|Lots of Bikes Storehouse|adventure-works\jillian0|alan1@adventure-works.com|494-555-0134|79355855-A002-4393-BB6E-36F90913FA4D
149|0|Mr.|Cornelius|L.|Brandon|NULL|Initial Bike Company|adventure-works\shu0|cornelius0@adventure-works.com|229-555-0114|BAA99D94-2FC2-4A1C-8B67-2C3210EB90C3
150|0|Ms.|Jill|J.|Christie|NULL|Fleet Bikes|adventure-works\linda3|jill1@adventure-works.com|927-555-0198|285C5DD7-75D6-460D-97BA-AA86D86637C0
151|0|Mr.|Walter|J.|Brian|IV|Futuristic Bikes|adventure-works\shu0|walter0@adventure-works.com|163-555-0155|7F2891F7-DD88-470B-95AE-CC9A7D732B1F
154|0|Mr.|Carlton|M.|Carlisle|NULL|Camping and Sports Store|adventure-works\josé1|carlton0@adventure-works.com|193-555-0116|4F60F75E-B20A-4056-874C-B7F3BD33BF3F
155|0|Mr.|Joseph|N.|Castellucio|NULL|Corner Bicycle Supply|adventure-works\josé1|joseph1@adventure-works.com|180-555-0114|3B56CD66-5DDF-430C-AB41-3FF6A1836868
156|0|Mr.|Lester|J.|Bowman|Sr.|Metal Processing Company|adventure-works\garrett1|lester0@adventure-works.com|844-555-0112|CFFFAAFB-98DC-4392-84F9-FB3229F35265
160|0|Ms.|Brigid|F.|Cavendish|NULL|Vigorous Sports Store|adventure-works\jae0|brigid0@adventure-works.com|1 (11) 500 555-0178|B42D510D-3AE4-4911-88CF-8D90D6BD0922
163|0|Mr.|Andrew|NULL|Cencini|NULL|Sports Merchandise|adventure-works\pamela0|andrew2@adventure-works.com|644-555-0111|989F9F3A-7CB8-4083-8CDA-291C682BE73C
164|0|Ms.|Cindy|M.|Dodd|NULL|Suburban Cycle Shop|adventure-works\david8|cindy0@adventure-works.com|706-555-0140|5A323ACA-74A2-4CA0-AA3B-E1AE299AAD08
165|0|Mr.|Randall|NULL|Boseman|NULL|Third Bike Store|adventure-works\jillian0|randall0@adventure-works.com|383-555-0117|3CDBD3EA-DA78-4F9A-8EEC-8DA4C050C817
166|0|Ms.|Stacey|M.|Cereghino|NULL|Fitness Toy Store|adventure-works\jillian0|stacey0@adventure-works.com|351-555-0131|F644D9DC-4CED-49E8-8587-CE859E466DFA
167|0|Mr.|Blaine|NULL|Dockter|NULL|Farthermost Bike Shop|adventure-works\shu0|blaine0@adventure-works.com|156-555-0187|515D4A13-4E60-4D0C-8F22-BB89A9D312AD
168|0|Sr.|Luis|NULL|Bonifaz|NULL|Economy Bikes Company|adventure-works\linda3|luis0@adventure-works.com|688-555-0113|FCE18386-F492-4D4A-A6D2-FB7EF20C57FC
169|0|Ms.|Brenda|NULL|Diaz|NULL|Downtown Hotel|adventure-works\shu0|brenda2@adventure-works.com|147-555-0192|2D6BBC35-BC19-4CB4-A61B-46899D3A4237
172|0|Ms.|Gabriele|NULL|Dickmann|NULL|Certified Sports Supply|adventure-works\josé1|gabriele0@adventure-works.com|835-555-0116|324C671D-DD10-4EE2-857A-767917ACC2A3
173|0|Mr.|Rudolph|J.|Dillon|Sr.|Sundry Sporting Goods|adventure-works\josé1|rudolph0@adventure-works.com|722-555-0169|FDC12E98-898B-4C22-972F-F0EBFBFCB7B0
174|0|Mr.|Michael|L.|Bohling|NULL|Toy Manufacturing Inc|adventure-works\garrett1|michael12@adventure-works.com|838-555-0147|9C4DDEFA-AABD-4A51-AB90-998985FB7D2F
178|0|Mr.|Dick|NULL|Dievendorff|NULL|Rampart Amusement Company|adventure-works\jae0|dick1@adventure-works.com|1 (11) 500 555-0193|05B8FB77-FC67-4279-AEBD-4162D21B9A11
180|0|Ms.|Nicky|E.|Chesnut|NULL|Full-Service Bike Store|adventure-works\michael9|nicky0@adventure-works.com|264-555-0164|F7CFF29E-F164-424E-B005-BF8CF317AF27
181|0|Mr.|Michael|J.|Lee|NULL|Family Entertainment Center|adventure-works\pamela0|michael18@adventure-works.com|396-555-0139|3D3D4CD0-7F5D-4BD9-A589-08881095BC5A
182|0|Mr.|Stanley|A.|Alan|Jr.|Another Bicycle Company|adventure-works\david8|stanley0@adventure-works.com|156-555-0126|D3DA2FF4-51C0-4FCB-A936-1B910458D752
183|0|Mr.|Yao-Qiang|NULL|Cheng|NULL|This Area Sporting Goods|adventure-works\jillian0|yao-qiang0@adventure-works.com|344-555-0181|B2051957-B411-44E1-BCA5-63FECB5368F2
184|0|Ms.|Marjorie|M.|Lee|NULL|Go-cart and Bike Specialists|adventure-works\jillian0|marjorie0@adventure-works.com|306-555-0166|A65C523A-498D-4314-A727-D17A8B2779F6
185|0|Mr.|Sandeep|NULL|Kaliyath|NULL|Weekend Bike Tours|adventure-works\shu0|sandeep1@adventure-works.com|495-555-0113|5014E91D-7B0E-495A-B429-FF915BE9D2FD
186|0|Mr.|Pei|NULL|Chow|NULL|Thrilling Bike Tours|adventure-works\linda3|pei0@adventure-works.com|789-555-0184|48D3E26E-C051-4B24-A37F-A88F5294F25F
187|0|Mr.|Frank|NULL|Campbell|NULL|Trailblazing Sports|adventure-works\shu0|frank4@adventure-works.com|491-555-0132|3329CE97-BB9F-4C36-9197-A6EEE803BD94
190|0|Mr.|Mark|NULL|Lee|NULL|Racing Partners|adventure-works\josé1|mark5@adventure-works.com|371-555-0112|91154406-0118-4A11-BB1B-366EDFB5C97A
191|0|Ms.|Sandra|T.|Kitt|NULL|Non-Slip Pedal Company|adventure-works\josé1|sandra2@adventure-works.com|303-555-0117|A2F63E12-1C66-41C2-AAC0-57D87F1861D9
192|0|Mr.|Hao|NULL|Chen|NULL|Nuts and Bolts Mfg.|adventure-works\garrett1|hao1@adventure-works.com|117-555-0173|84401968-8977-4380-9B4E-D5149C8126C0
196|0|Ms.|Jolie|NULL|Lenehan|NULL|Exhibition Showroom|adventure-works\jae0|jolie0@adventure-works.com|1 (11) 500 555-0126|5F0EB2D3-4691-4F71-8E9B-A3EACFA4A1D5
197|0|Ms.|Diane|F.|Krane|NULL|Fabrikam Inc., West|adventure-works\michael9|diane4@adventure-works.com|224-555-0126|47B64828-BC4C-4940-AA23-92006BF0D7F1
198|0|Mr.|Payton|P.|Benson|NULL|Field Trip Inc|adventure-works\michael9|payton0@adventure-works.com|528-555-0183|B17DE285-DF9A-487B-8773-75844A101CD0
199|0|Mr.|Roger|NULL|Lengel|NULL|Authorized Bike Sales and Rental|adventure-works\pamela0|roger1@adventure-works.com|947-555-0143|F0CD52D1-B838-451E-B015-5414AB7D9154
200|0|Ms.|Peggy|J.|Justice|NULL|Basic Bike Company|adventure-works\david8|peggy0@adventure-works.com|170-555-0189|7C96C878-A038-4B2F-825F-016C922D6407
201|0|Ms.|Edna|J.|Benson|NULL|Unsurpassed Bikes|adventure-works\jillian0|edna0@adventure-works.com|789-555-0189|FF8EB66D-37D8-46FB-B6E2-30A1FAC37947
202|0|NULL|A.|Francesca|Leonetti|NULL|Two-Seater Bikes|adventure-works\jillian0|a0@adventure-works.com|645-555-0193|E50D76BB-E3F7-419F-A6D2-20061538FCEA
203|0|Ms.|Jean|NULL|Jordan|NULL|Separate Parts Corporation|adventure-works\shu0|jean3@adventure-works.com|207-555-0129|B05AAA08-ABC9-41E1-B113-65347A2EE406
204|0|Mr.|Ido|NULL|Ben-Sachar|NULL|Traction Tire Company|adventure-works\linda3|ido0@adventure-works.com|973-555-0112|C807870F-FA5D-44CB-B373-47ECAC52C1D8
205|0|Mr.|Frank|NULL|Mart¡nez|NULL|Rally Master Company Inc|adventure-works\shu0|frank5@adventure-works.com|171-555-0147|9DB0BD27-5CE6-4F6D-8C90-A85422B86060
208|0|Mr.|Steve|NULL|Masters|NULL|Professional Cyclists|adventure-works\josé1|steve2@adventure-works.com|154-555-0115|6005E7A8-0101-4BE2-B8C1-F4AD936E496F
209|0|Mr.|Robert|E.|Jones|NULL|Purple Bicycle Company|adventure-works\josé1|robert6@adventure-works.com|595-555-0131|E5A50573-0D83-4200-A80C-9F690AF69FCC
210|0|Mr.|Josh|NULL|Barnhill|NULL|Gasless Cycle Shop|adventure-works\garrett1|josh0@adventure-works.com|584-555-0192|FF748558-EA94-4C67-A764-D1480B0F8548
214|0|Ms.|Jennifer|J.|Maxham|NULL|Exclusive Bicycle Mart|adventure-works\jae0|jennifer1@adventure-works.com|1 (11) 500 555-0175|402E4D5F-27C3-4197-87E8-32AA42E41BB6
217|0|Mr.|Chris|NULL|Maxwell|NULL|City Manufacturing|adventure-works\pamela0|chris6@adventure-works.com|642-555-0187|5CFC3A75-DDC6-4C65-B4C3-15BF96C92983
218|0|Mr.|David|NULL|Johnson|NULL|Sure & Reliable Sporting Goods|adventure-works\david8|david18@adventure-works.com|476-555-0139|3C098480-0D9B-409C-8156-C7610415AC5B
219|0|Mr.|Brian|NULL|Johnson|NULL|Extras Sporting Goods|adventure-works\jillian0|brian6@adventure-works.com|320-555-0134|D39CCCE3-C4A6-441D-8A3C-96507627746D
220|0|Mr.|Robert|NULL|Brown|NULL|Best o' Bikes|adventure-works\jillian0|robert5@adventure-works.com|575-555-0189|81305A48-9F6E-4415-B7AA-488BA04A8F7E
221|0|Ms.|Sandra|B.|Maynard|NULL|Bike Dealers Association|adventure-works\shu0|sandra4@adventure-works.com|993-555-0179|98EA497E-45D0-4C54-821A-4FDD9A751095
222|0|Mr.|Barry|NULL|Johnson|NULL|Sample Bike Store|adventure-works\linda3|barry1@adventure-works.com|858-555-0140|3DB84B19-4063-4EC2-B1B4-317DEE133A25
223|0|Ms.|Joyce|NULL|Jarvis|NULL|Paints and Solvents Company|adventure-works\shu0|joyce0@adventure-works.com|458-555-0179|994837FE-10A8-47DF-B7B8-86C4E6932FD0
226|0|Ms.|Vance|P.|Johns|NULL|Leisure Activities|adventure-works\josé1|vance0@adventure-works.com|103-555-0151|CF860E9B-816A-406E-A64A-7965772D5487
227|0|Ms.|Robin|M.|McGuigan|NULL|Health Spa, Limited|adventure-works\josé1|robin0@adventure-works.com|431-555-0153|1FFA0236-84EE-415A-BE61-94CE863715EA
228|0|Ms.|Danielle|B.|Johnson|NULL|Home Town Bike Store|adventure-works\garrett1|danielle1@adventure-works.com|356-555-0190|C751DD7E-51D9-4D2D-AEED-C818EEE56CEB
232|0|Mr.|David|NULL|Jaffe|NULL|Exceptional Cycle Services|adventure-works\jae0|david17@adventure-works.com|1 (11) 500 555-0140|AA451BD5-FFC2-436C-A295-81B350A5B899
